@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento,'choque frontal'}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute 'prediction margin' numeric
@attribute 'predicted causas' {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
sabado,h01,'perdida de carril','san sebastian',-0.550562,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
viernes,h13,'choque lateral perpendicular','el sagrario',1,'imprudencia del conductor','imprudencia del conductor',2h,0fa
jueves,h14,'choque frontal excentrico',sucre,-0.16129,'conducir en estado de embriaguez','imprudencia del conductor',0h,0fa
lunes,h06,'choque lateral angular','el valle',-1,'no respetar las senales de transito','conducir en exceso de velocidad',3h,0fa
martes,h13,'choque lateral perpendicular','el sagrario',-0.75,'imprudencia del conductor','conducir en exceso de velocidad',0h,0fa
miercoles,h23,estrellamiento,carigan,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',0h,0fa
sabado,h19,estrellamiento,carigan,-0.305085,'conducir en exceso de velocidad','imprudencia del conductor',1h,0fa
viernes,h23,'perdida de carril',sucre,0.550562,'conducir en exceso de velocidad','conducir en exceso de velocidad',2h,0fa
viernes,h22,'choque lateral perpendicular','san sebastian',0.25,'no respetar las senales de transito','no respetar las senales de transito',0h,0fa
viernes,h21,'choque por alcance','san sebastian',-0.358209,'no mantener la distancia reglamentaria','imprudencia del conductor',0h,0fa
jueves,h21,atipico,'el sagrario',0.8,'imprudencia del conductor','imprudencia del conductor',0h,0fa
jueves,h16,'choque lateral perpendicular',punzara,-0.2,'imprudencia del conductor','conducir en exceso de velocidad',0h,0fa
lunes,h06,estrellamiento,carigan,0.122881,'conducir en exceso de velocidad','conducir en exceso de velocidad',2h,0fa
miercoles,h20,estrellamiento,'el valle',-0.122881,'conducir en exceso de velocidad','conducir en estado de embriaguez',0h,0fa
