dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el valle,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,estrellamiento,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h06_h11,choque,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h12_h17,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h06_h11,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h00_h05,choque,sucre,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h18_h23,atropello,el valle,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h17,perdida de carril_pista,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,san sebastian,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,colision,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h12_h17,choque,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h12_h17,choque,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,choque,el sagrario,imprudencia del conductor,2h,0fa
jueves_viernes,h12_h17,atropello,sucre,imprudencia del peaton,1h,0fa
jueves_viernes,h18_h23,choque,carigan,cambio brusco e indebido de carril,0h,0fa
sabado_domingo,h00_h05,roce,sucre,imprudencia del conductor,1h,0fa
sabado_domingo,h12_h17,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h06_h11,estrellamiento,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,roce,punzara,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el sagrario,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,fallas mecanicas no previsibles,1h,0fa
jueves_viernes,h12_h17,colision,el sagrario,imprudencia del conductor,0h,0fa
jueves_viernes,h18_h23,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h18_h23,choque,punzara,imprudencia del conductor,2h,0fa
jueves_viernes,h06_h11,estrellamiento,el sagrario,negligencia del conductor,0h,0fa
jueves_viernes,h18_h23,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,choque,sucre,no mantener la distancia reglamentaria,0h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,sucre,inobservancia de leyes de transito,0h,0fa
lunes_martes_miercoles,h00_h05,choque,punzara,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,choque,carigan,imprudencia del conductor,2h,0fa
jueves_viernes,h12_h17,choque,punzara,no ceder el derecho de via,1h,0fa
sabado_domingo,h12_h17,choque,punzara,conducir en estado de embriaguez,2h,0fa
sabado_domingo,h00_h05,choque,san sebastian,inobservancia de leyes de transito,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,inobservancia de leyes de transito,0h,0fa
sabado_domingo,h06_h11,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h18_h23,perdida de carril_pista,punzara,fallas mecanicas no previsibles,1h,0fa
lunes_martes_miercoles,h00_h05,choque,sucre,cambio brusco e indebido de carril,1h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,sucre,inobservancia de leyes de transito,0h,0fa
lunes_martes_miercoles,h12_h17,choque,san sebastian,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,choque,el sagrario,no respetar las senales de transito,0h,0fa
jueves_viernes,h12_h17,choque,carigan,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h06_h11,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h06_h11,choque,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,atropello,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,choque,san sebastian,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h00_h05,choque,el valle,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h18_h23,choque,punzara,no ceder el derecho de via,1h,0fa
jueves_viernes,h18_h23,choque,sucre,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h00_h05,choque,el sagrario,conducir en estado de embriaguez,2h,0fa
jueves_viernes,h00_h05,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h06_h11,estrellamiento,san sebastian,inobservancia de leyes de transito,0h,0fa
sabado_domingo,h06_h11,choque,sucre,conducir en estado de embriaguez,2h,0fa
sabado_domingo,h18_h23,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,atropello,punzara,imprudencia del peaton,1h,0fa
sabado_domingo,h06_h11,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,punzara,imprudencia del conductor,4h,0fa
lunes_martes_miercoles,h00_h05,choque,carigan,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h00_h05,choque,el sagrario,conducir en estado de embriaguez,2h,0fa
jueves_viernes,h00_h05,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h12_h17,colision,sucre,imprudencia del conductor,0h,0fa
jueves_viernes,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h06_h11,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,choque,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el sagrario,no respetar las senales de transito,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h18_h23,choque,san sebastian,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h00_h05,choque,carigan,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h00_h05,choque,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,estrellamiento,punzara,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h06_h11,roce,sucre,imprudencia del conductor,2h,0fa
lunes_martes_miercoles,h00_h05,choque,carigan,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el sagrario,no ceder el derecho de via,2h,0fa
jueves_viernes,h18_h23,estrellamiento,carigan,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h00_h05,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,choque,sucre,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,cambio brusco e indebido de carril,3h,0fa
lunes_martes_miercoles,h12_h17,atropello,carigan,imprudencia del conductor,2h,0fa
jueves_viernes,h06_h11,atropello,el sagrario,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,choque,el sagrario,no ceder el derecho de via,2h,0fa
jueves_viernes,h18_h23,choque,el valle,no ceder el derecho de via,0h,0fa
sabado_domingo,h18_h23,choque,punzara,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h00_h05,choque,carigan,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,perdida de carril_pista,san sebastian,fallas mecanicas no previsibles,2h,0fa
sabado_domingo,h18_h23,choque,punzara,no ceder el derecho de via,2h,0fa
sabado_domingo,h06_h11,perdida de carril_pista,carigan,fallas mecanicas no previsibles,0h,0fa
sabado_domingo,h12_h17,choque,el valle,no respetar las senales de transito,0h,0fa
sabado_domingo,h12_h17,choque,san sebastian,no respetar las senales de transito,0h,0fa
lunes_martes_miercoles,h12_h17,choque,punzara,no ceder el derecho de via,1h,0fa
lunes_martes_miercoles,h06_h11,colision,punzara,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h12_h17,atipico,san sebastian,imprudencia del conductor,0h,0fa
jueves_viernes,h06_h11,choque,el valle,cambio brusco e indebido de carril,1h,0fa
jueves_viernes,h18_h23,choque,san sebastian,no ceder el derecho de via,2h,0fa
jueves_viernes,h18_h23,estrellamiento,el valle,conducir en estado de embriaguez,4h,0fa
jueves_viernes,h18_h23,choque,sucre,invadir carril de circulacion,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,imprudencia del conductor,0h,0fa
sabado_domingo,h12_h17,choque,punzara,no ceder el derecho de via,0h,0fa
sabado_domingo,h18_h23,choque,el sagrario,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h18_h23,perdida de carril_pista,punzara,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h00_h05,estrellamiento,carigan,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,choque,sucre,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h12_h17,atropello,sucre,conducir en exceso de velocidad,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h06_h11,choque,san sebastian,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h12_h17,atropello,san sebastian,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h00_h05,encunetamiento,carigan,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h06_h11,choque,carigan,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h12_h17,atropello,sucre,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h18_h23,estrellamiento,carigan,conducir en estado de embriaguez,1h,1fa
jueves_viernes,h12_h17,atropello,sucre,imprudencia del peaton,1h,0fa
sabado_domingo,h12_h17,choque,el sagrario,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h06_h11,choque,sucre,imprudencia del conductor,0h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,estrellamiento,sucre,fallas mecanicas no previsibles,0h,0fa
lunes_martes_miercoles,h18_h23,perdida de carril_pista,carigan,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h06_h11,choque,el valle,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h18_h23,choque,carigan,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h06_h11,choque,el sagrario,no ceder el derecho de via,2h,0fa
lunes_martes_miercoles,h06_h11,choque,el sagrario,no ceder el derecho de via,0h,0fa
jueves_viernes,h12_h17,choque,el valle,no ceder el derecho de via,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,imprudencia del conductor,1h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h18_h23,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h00_h05,estrellamiento,carigan,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h00_h05,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h06_h11,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h06_h11,choque,sucre,cambio brusco e indebido de carril,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,no respetar las senales de transito,0h,0fa
sabado_domingo,h12_h17,choque,carigan,cambio brusco e indebido de carril,1h,0fa
sabado_domingo,h12_h17,perdida de carril_pista,el valle,conducir en exceso de velocidad,4h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h12_h17,atipico,punzara,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h18_h23,choque,san sebastian,no ceder el derecho de via,3h,0fa
lunes_martes_miercoles,h18_h23,atipico,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,choque,san sebastian,no respetar las senales de transito,0h,0fa
jueves_viernes,h06_h11,choque,sucre,no ceder el derecho de via,1h,0fa
jueves_viernes,h12_h17,choque,sucre,no respetar las senales de transito,1h,0fa
jueves_viernes,h06_h11,choque,punzara,conducir en estado de embriaguez,2h,0fa
jueves_viernes,h00_h05,estrellamiento,punzara,conducir en exceso de velocidad,1h,0fa
jueves_viernes,h12_h17,estrellamiento,san sebastian,imprudencia del conductor,0h,0fa
sabado_domingo,h18_h23,choque,sucre,conducir en estado de embriaguez,1h,0fa
sabado_domingo,h12_h17,choque,san sebastian,no ceder el derecho de via,1h,0fa
sabado_domingo,h12_h17,atropello,sucre,conducir en estado de embriaguez,2h,0fa
lunes_martes_miercoles,h06_h11,choque,el valle,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h18_h23,atropello,punzara,imprudencia del peaton,1h,0fa
jueves_viernes,h12_h17,perdida de carril_pista,el valle,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h18_h23,perdida de carril_pista,carigan,conducir en estado de embriaguez,5h,1fa
sabado_domingo,h06_h11,choque,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h12_h17,arrollamiento,carigan,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h18_h23,choque,punzara,conducir en estado de embriaguez,2h,0fa
lunes_martes_miercoles,h18_h23,choque,san sebastian,no ceder el derecho de via,1h,0fa
lunes_martes_miercoles,h06_h11,choque,sucre,no respetar las senales de transito,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h18_h23,choque,punzara,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,choque,el valle,no ceder el derecho de via,0h,0fa
jueves_viernes,h12_h17,choque,el sagrario,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h00_h05,estrellamiento,carigan,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h18_h23,choque,el sagrario,conducir en estado de embriaguez,2h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h18_h23,estrellamiento,el valle,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el valle,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h00_h05,estrellamiento,punzara,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h06_h11,choque,sucre,no ceder el derecho de via,1h,0fa
jueves_viernes,h06_h11,atropello,el sagrario,imprudencia del peaton,1h,0fa
jueves_viernes,h12_h17,atropello,san sebastian,conducir en estado de embriaguez,2h,0fa
sabado_domingo,h06_h11,atropello,sucre,imprudencia del peaton,1h,0fa
sabado_domingo,h00_h05,estrellamiento,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h12_h17,colision,punzara,conducir en estado de embriaguez,2h,0fa
lunes_martes_miercoles,h06_h11,estrellamiento,carigan,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h12_h17,atropello,sucre,imprudencia del peaton,1h,0fa
sabado_domingo,h00_h05,choque,sucre,no ceder el derecho de via,1h,0fa
sabado_domingo,h12_h17,estrellamiento,san sebastian,conducir en exceso de velocidad,3h,0fa
lunes_martes_miercoles,h12_h17,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h18_h23,perdida de carril_pista,carigan,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h06_h11,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
jueves_viernes,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h12_h17,choque,el sagrario,no ceder el derecho de via,1h,0fa
jueves_viernes,h12_h17,atropello,el sagrario,imprudencia del peaton,1h,0fa
jueves_viernes,h12_h17,estrellamiento,sucre,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h12_h17,choque,san sebastian,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h18_h23,choque,sucre,no mantener la distancia reglamentaria,0h,0fa
sabado_domingo,h18_h23,choque,sucre,invadir carril de circulacion,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,punzara,conducir en exceso de velocidad,3h,0fa
lunes_martes_miercoles,h06_h11,choque,san sebastian,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h12_h17,atipico,san sebastian,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,choque,san sebastian,no ceder el derecho de via,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,no mantener la distancia reglamentaria,0h,0fa
jueves_viernes,h18_h23,choque,san sebastian,conducir en exceso de velocidad,0h,1fa
sabado_domingo,h18_h23,choque,el valle,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,atropello,el valle,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h17,choque,el valle,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h18_h23,atropello,carigan,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h18_h23,choque,el valle,no respetar las senales de transito,0h,0fa
jueves_viernes,h00_h05,estrellamiento,san sebastian,conducir en exceso de velocidad,0h,0fa
jueves_viernes,h06_h11,estrellamiento,el sagrario,conducir en exceso de velocidad,1h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h06_h11,choque,san sebastian,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h06_h11,roce,sucre,no mantener la distancia reglamentaria,0h,0fa
lunes_martes_miercoles,h12_h17,choque,san sebastian,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h18_h23,choque,el sagrario,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h00_h05,perdida de carril_pista,el valle,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el sagrario,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h12_h17,choque,sucre,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h18_h23,atipico,san sebastian,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,choque,san sebastian,imprudencia del conductor,1h,0fa
jueves_viernes,h18_h23,choque,san sebastian,no ceder el derecho de via,2h,0fa
sabado_domingo,h06_h11,atropello,el sagrario,imprudencia del peaton,1h,0fa
sabado_domingo,h12_h17,choque,el valle,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h06_h11,choque,el valle,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h06_h11,choque,punzara,no ceder el derecho de via,0h,0fa
lunes_martes_miercoles,h00_h05,perdida de carril_pista,el sagrario,conducir en exceso de velocidad,0h,0fa
lunes_martes_miercoles,h06_h11,choque,punzara,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h00_h05,estrellamiento,sucre,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h12_h17,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,choque,el sagrario,conducir en estado de embriaguez,1h,0fa
lunes_martes_miercoles,h06_h11,colision,san sebastian,imprudencia del conductor,1h,0fa
lunes_martes_miercoles,h12_h17,atropello,san sebastian,imprudencia del peaton,1h,0fa
lunes_martes_miercoles,h12_h17,choque,punzara,imprudencia del conductor,0h,0fa
lunes_martes_miercoles,h12_h17,choque,el valle,imprudencia del conductor,1h,0fa
jueves_viernes,h06_h11,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,punzara,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,0h,1fa
sabado_domingo,h12_h17,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h18_h23,choque,punzara,invadir carril de circulacion,1h,0fa
lunes_martes_miercoles,h18_h23,choque,sucre,razones desconocidas,1h,0fa
lunes_martes_miercoles,h00_h05,estrellamiento,el valle,conducir en estado de embriaguez,2h,0fa
jueves_viernes,h18_h23,perdida de carril_pista,san sebastian,conducir en estado de embriaguez,2h,0fa
jueves_viernes,h18_h23,choque,el sagrario,conducir en estado de embriaguez,0h,0fa
sabado_domingo,h00_h05,perdida de carril_pista,sucre,conducir en exceso de velocidad,0h,0fa
sabado_domingo,h12_h17,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h12_h17,choque,el sagrario,no ceder el derecho de via,0h,0fa
sabado_domingo,h18_h23,choque,sucre,conducir en estado de embriaguez,0h,0fa
lunes_martes_miercoles,h06_h11,choque,el sagrario,cambio brusco e indebido de carril,0h,0fa
